base_mae,basis_dim,coef,corr_mae,delta_pct,denominator,fit_start,group,lambda,locality,locality_factor,n_cal,nonharm,nuisance,response_rule,ridge,role,shrinkage,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,test_scale,train_scale,variant,win
0.003408385839825258,4,0.04735528061043357,0.0021440430194194196,-37.09506141096569,0.0021724689574154367,8000,core_wsd,9.031125300869606,linear,0.8168498168498168,500,1,mpl_ld4,observation_bracket,0.002,main_parameter_light_candidate,sample_size_ridge,0.00010287787709586406,0.34163832611364137,0.013132743712394476,0.0014776710585123038,wsd_20000_24000.csv,WSD sharp,25,25,observation_bracket_mplld_neff,1
0.0031360955249893426,4,0.04737830779412671,0.002201421612984843,-29.80374496110657,0.002172616531913509,8000,core_wsd,9.02761081624502,linear,0.8168498168498168,500,1,mpl_ld4,observation_bracket,0.002,main_parameter_light_candidate,sample_size_ridge,0.00010293489476760635,0.341772334069947,0.013138361081714456,0.0014777758946908194,wsdld_20000_24000.csv,WSD linear,25,25,observation_bracket_mplld_neff,1
0.004487187642230267,4,0.0186012135954047,0.0024838955358124364,-44.644714376645375,0.0020400885888890905,8000,core_wsd,18.05070782708191,linear,0.9998554913294798,500,1,mpl_ld4,observation_bracket,0.002,main_parameter_light_candidate,sample_size_ridge,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_3.csv,WSD-con 3e-5,25,25,observation_bracket_mplld_neff,1
0.002926482771138891,4,0.0186012135954047,0.0023063724919035614,-21.189609771527984,0.0020400885888890905,8000,core_wsd,18.05070782708191,linear,0.9998554913294798,500,1,mpl_ld4,observation_bracket,0.002,main_parameter_light_candidate,sample_size_ridge,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_9.csv,WSD-con 9e-5,25,25,observation_bracket_mplld_neff,1
0.002504818961791151,4,0.0186012135954047,0.0022746632188245137,-9.188518071663621,0.0020400885888890905,8000,core_wsd,18.05070782708191,linear,0.9998554913294798,500,1,mpl_ld4,observation_bracket,0.002,main_parameter_light_candidate,sample_size_ridge,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_18.csv,WSD-con 18e-5,25,25,observation_bracket_mplld_neff,1
0.004428106847791531,4,0.04738884761837541,0.004428106847791531,0.0,0.002172684106541106,8000,extra_control,9.02600304324791,linear,0.0,500,1,mpl_ld4,observation_bracket,0.002,main_parameter_light_candidate,sample_size_ridge,0.00010296099604774261,0.34183367340520177,0.01314093248369788,0.001477823893045975,cosine_24000.csv,Cosine 24k,25,25,observation_bracket_mplld_neff,0
0.003761619732988638,4,0.047393104006591434,0.003761619732988638,0.0,0.002172711400767273,8000,extra_control,9.025353913540956,linear,0.0,500,1,mpl_ld4,observation_bracket,0.002,main_parameter_light_candidate,sample_size_ridge,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_24000.csv,Constant 24k,25,25,observation_bracket_mplld_neff,0
0.0015795124507172926,4,0.047393104006591434,0.0015795124507172926,0.0,0.002172711400767273,8000,extra_control,9.025353913540956,linear,0.0,500,1,mpl_ld4,observation_bracket,0.002,main_parameter_light_candidate,sample_size_ridge,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_72000.csv,Constant 72k,25,25,observation_bracket_mplld_neff,0
0.0037480705220761528,4,0.04735528061043357,0.002445018156085275,-34.7659511291448,0.0021724689574154367,8000,core_wsd,9.031125300869606,linear,0.8168498168498168,500,1,mpl_ld4,observation_bracket,0.002,main_parameter_light_candidate,sample_size_ridge,0.00010287787709586406,0.34163832611364137,0.013132743712394476,0.0014776710585123038,wsd_20000_24000.csv,WSD sharp,100,25,observation_bracket_mplld_neff,1
0.003248313740665229,4,0.04737830779412671,0.0023179155825783357,-28.642496764993986,0.002172616531913509,8000,core_wsd,9.02761081624502,linear,0.8168498168498168,500,1,mpl_ld4,observation_bracket,0.002,main_parameter_light_candidate,sample_size_ridge,0.00010293489476760635,0.341772334069947,0.013138361081714456,0.0014777758946908194,wsdld_20000_24000.csv,WSD linear,100,25,observation_bracket_mplld_neff,1
