base_mae,corr_mae,delta_pct,kappa,rule,scale,test_curve,test_label,train_id,train_label,train_size,win
0.0038535563963712593,0.002394602003245419,-37.859946580765744,0.06508729347827592,inner_cv_worst,400,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.008173606778800102,0.008867993133477664,8.495470524451854,0.06508729347827592,inner_cv_worst,400,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,0
0.006687305974578527,0.0075709478352190065,13.213719605467444,0.06508729347827592,inner_cv_worst,400,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0
0.0025579541942073844,0.0028231075076254296,10.365835088779086,0.06508729347827592,inner_cv_worst,400,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,0
0.003408385839825258,0.002767950647437327,-18.789985127410482,0.020555000039450946,inner_cv_safe,25,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0031360955249893426,0.0026752403424190763,-14.695189572448763,0.020555000039450946,inner_cv_safe,25,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.004487187642230267,0.002905343263709773,-35.2524677959371,0.020555000039450946,inner_cv_safe,25,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.002926482771138891,0.0023455307260374795,-19.851545029780716,0.020555000039450946,inner_cv_safe,25,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.002504818961791151,0.0020842506738609416,-16.79036666304492,0.020555000039450946,inner_cv_safe,25,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.0037480705220761528,0.0026040795145366885,-30.5221313420159,0.036932787982351674,inner_cv_safe,100,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.003248313740665229,0.002425101351801072,-25.34276103193066,0.036932787982351674,inner_cv_safe,100,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.0056693997340904675,0.00594234943550538,4.814437404610006,0.036932787982351674,inner_cv_safe,100,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,0
0.004934623402238123,0.005508069391670714,11.62086632938395,0.036932787982351674,inner_cv_safe,100,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0
0.0013816404339982303,0.001458263182917274,5.545780728008265,0.036932787982351674,inner_cv_safe,100,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,0
0.004701998914275349,0.002696896417908533,-42.64361887195018,0.06508729347827592,inner_cv_safe,400,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0038535563963712593,0.002394602003245419,-37.859946580765744,0.06508729347827592,inner_cv_safe,400,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.008173606778800102,0.008867993133477664,8.495470524451854,0.06508729347827592,inner_cv_safe,400,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,0
0.006687305974578527,0.0075709478352190065,13.213719605467444,0.06508729347827592,inner_cv_safe,400,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0
0.0025579541942073844,0.0028231075076254296,10.365835088779086,0.06508729347827592,inner_cv_safe,400,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,0
0.003408385839825258,0.002767950647437327,-18.789985127410482,0.020555000039450946,inner_cv_band_mean,25,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0031360955249893426,0.0026752403424190763,-14.695189572448763,0.020555000039450946,inner_cv_band_mean,25,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.004487187642230267,0.002905343263709773,-35.2524677959371,0.020555000039450946,inner_cv_band_mean,25,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.002926482771138891,0.0023455307260374795,-19.851545029780716,0.020555000039450946,inner_cv_band_mean,25,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.002504818961791151,0.0020842506738609416,-16.79036666304492,0.020555000039450946,inner_cv_band_mean,25,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.0037480705220761528,0.0026040795145366885,-30.5221313420159,0.036932787982351674,inner_cv_band_mean,100,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.003248313740665229,0.002425101351801072,-25.34276103193066,0.036932787982351674,inner_cv_band_mean,100,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.0056693997340904675,0.00594234943550538,4.814437404610006,0.036932787982351674,inner_cv_band_mean,100,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,0
0.004934623402238123,0.005508069391670714,11.62086632938395,0.036932787982351674,inner_cv_band_mean,100,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0
0.0013816404339982303,0.001458263182917274,5.545780728008265,0.036932787982351674,inner_cv_band_mean,100,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,0
0.004701998914275349,0.002696896417908533,-42.64361887195018,0.06508729347827592,inner_cv_band_mean,400,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0038535563963712593,0.002394602003245419,-37.859946580765744,0.06508729347827592,inner_cv_band_mean,400,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.008173606778800102,0.008867993133477664,8.495470524451854,0.06508729347827592,inner_cv_band_mean,400,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,0
0.006687305974578527,0.0075709478352190065,13.213719605467444,0.06508729347827592,inner_cv_band_mean,400,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0
0.0025579541942073844,0.0028231075076254296,10.365835088779086,0.06508729347827592,inner_cv_band_mean,400,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,0
0.003408385839825258,0.002767950647437327,-18.789985127410482,0.020555000039450946,inner_cv_band_worst,25,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0031360955249893426,0.0026752403424190763,-14.695189572448763,0.020555000039450946,inner_cv_band_worst,25,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.004487187642230267,0.002905343263709773,-35.2524677959371,0.020555000039450946,inner_cv_band_worst,25,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.002926482771138891,0.0023455307260374795,-19.851545029780716,0.020555000039450946,inner_cv_band_worst,25,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.002504818961791151,0.0020842506738609416,-16.79036666304492,0.020555000039450946,inner_cv_band_worst,25,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.0037480705220761528,0.0026040795145366885,-30.5221313420159,0.036932787982351674,inner_cv_band_worst,100,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.003248313740665229,0.002425101351801072,-25.34276103193066,0.036932787982351674,inner_cv_band_worst,100,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.0056693997340904675,0.00594234943550538,4.814437404610006,0.036932787982351674,inner_cv_band_worst,100,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,0
0.004934623402238123,0.005508069391670714,11.62086632938395,0.036932787982351674,inner_cv_band_worst,100,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0
0.0013816404339982303,0.001458263182917274,5.545780728008265,0.036932787982351674,inner_cv_band_worst,100,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,0
0.004701998914275349,0.002696896417908533,-42.64361887195018,0.06508729347827592,inner_cv_band_worst,400,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0038535563963712593,0.002394602003245419,-37.859946580765744,0.06508729347827592,inner_cv_band_worst,400,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
