base_mae,basis_dim,coef,corr_mae,delta_pct,denominator,fit_start,group,lambda,lambda_rule,locality,locality_factor,n_cal,nonharm,projection,q_rule,ridge,role,source_dot,source_full_norm,source_perp_norm,source_retention,target_density_projection,target_drop_total,target_effective_drop_count,target_post_warmup_horizon,target_q2,target_qinf,target_support_projection,target_support_span,test_curve,test_label,test_scale,train_scale,variant,win
0.0056693997340904675,4,0.0186012135954047,0.004099133241701229,-27.697226620785344,0.0020400885888890905,8000,core_wsd,18.05070782708191,halflife,support_projection,0.9998554913294798,500,1,mpl_ld4,q2,0.002,current_formula,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,0.9999277456647405,0.00026999999999999995,1.0,13840.0,1.0,1.0,0.9998554913294798,2.0,wsdcon_3.csv,WSD-con 3e-5,100,25,current_with_mplld_projection,1
0.004934623402238123,4,0.0186012135954047,0.004530808563599806,-8.183295982732242,0.0020400885888890905,8000,core_wsd,18.05070782708191,halflife,support_projection,0.9998554913294798,500,1,mpl_ld4,q2,0.002,current_formula,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,0.9999277456647405,0.00020999999999999995,1.0,13840.0,1.0,1.0,0.9998554913294798,2.0,wsdcon_9.csv,WSD-con 9e-5,100,25,current_with_mplld_projection,1
0.0013816404339982303,4,0.0186012135954047,0.0012257274885830308,-11.284625259845226,0.0020400885888890905,8000,core_wsd,18.05070782708191,halflife,support_projection,0.9998554913294798,500,1,mpl_ld4,q2,0.002,current_formula,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,0.9999277456647405,0.00011999999999999996,1.0,13840.0,1.0,1.0,0.9998554913294798,2.0,wsdcon_18.csv,WSD-con 18e-5,100,25,current_with_mplld_projection,1
0.0032781062167547585,4,0.04739143241165039,0.0032781062167547585,0.0,0.0021727006812692472,8000,extra_control,9.02560883338251,halflife,support_projection,0.0,500,1,mpl_ld4,q2,0.002,current_formula,0.00010296739748711828,0.3418487165194955,0.013141563121229048,0.0014778356654925582,0.18943053784924493,0.00026999999860331564,17702.83705337249,21840.0,5.648812091446634e-05,7.192290886014244e-05,0.0,21840.0,cosine_24000.csv,Cosine 24k,100,25,current_with_mplld_projection,0
0.001848699219840022,4,0.047393104006591434,0.001848699219840022,0.0,0.002172711400767273,8000,extra_control,9.025353913540956,halflife,support_projection,0.0,500,1,mpl_ld4,q2,0.002,current_formula,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,0.0,0.0,0.0,21840.0,0.0,0.0,0.0,0.0,constant_24000.csv,Constant 24k,100,25,current_with_mplld_projection,0
0.004776169698442608,4,0.047393104006591434,0.004776169698442608,0.0,0.002172711400767273,8000,extra_control,9.025353913540956,halflife,support_projection,0.0,500,1,mpl_ld4,q2,0.002,current_formula,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,0.0,0.0,0.0,69840.0,0.0,0.0,0.0,0.0,constant_72000.csv,Constant 72k,100,25,current_with_mplld_projection,0
0.004701998914275349,4,0.04738269271226069,0.0033907924139255164,-27.88615064050711,0.002172644643076243,8000,core_wsd,9.026941864314445,halflife,support_projection,0.8168498168498168,500,1,mpl_ld4,q2,0.002,current_formula,0.00010294575349582092,0.3417978531056059,0.013139430850544587,0.0014777958625725768,0.8698569499653173,0.0002699827256403192,2842.3242127574727,21840.0,0.00035182474803951123,0.0006394638242375368,0.8168498168498168,4000.0,wsd_20000_24000.csv,WSD sharp,400,25,current_with_mplld_projection,1
0.0038535563963712593,4,0.04738570411405721,0.0029161060208826167,-24.326888698745975,0.0021726639505585663,8000,core_wsd,9.026482506002322,halflife,support_projection,0.8168498168498168,500,1,mpl_ld4,q2,0.002,current_formula,0.00010295321110044684,0.34181537879017754,0.013140165545325759,0.0014778095766382598,0.8168956043956048,0.00026993249999999997,3998.9999999999995,21840.0,0.00025006251562890725,0.00025006251562922964,0.8168498168498168,4000.0,wsdld_20000_24000.csv,WSD linear,400,25,current_with_mplld_projection,1
0.008173606778800102,4,0.0186012135954047,0.006419203832814264,-21.464244530777243,0.0020400885888890905,8000,core_wsd,18.05070782708191,halflife,support_projection,0.9998554913294798,500,1,mpl_ld4,q2,0.002,current_formula,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,0.9999277456647405,0.00026999999999999995,1.0,13840.0,1.0,1.0,0.9998554913294798,2.0,wsdcon_3.csv,WSD-con 3e-5,400,25,current_with_mplld_projection,1
0.006687305974578527,4,0.0186012135954047,0.006304626018323069,-5.722483130130396,0.0020400885888890905,8000,core_wsd,18.05070782708191,halflife,support_projection,0.9998554913294798,500,1,mpl_ld4,q2,0.002,current_formula,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,0.9999277456647405,0.00020999999999999995,1.0,13840.0,1.0,1.0,0.9998554913294798,2.0,wsdcon_9.csv,WSD-con 9e-5,400,25,current_with_mplld_projection,1
