base_mae,corr_mae,delta_pct,kappa,mode,scale,test_curve,test_label,train_curve,train_label,win
0.008173606778800102,0.00695084002599612,-14.959941013745304,0.05498916147322445,train_only_tau,400,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,1
0.006687305974578527,0.006975382858683179,4.307816708249357,0.05498916147322445,train_only_tau,400,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,0
0.0025579541942073844,0.0026430287832947446,3.325883992763279,0.05498916147322445,train_only_tau,400,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,0
0.00744534704076948,0.007296666818678863,-1.9969548937943338,0.013086419702325653,train_only_tau,25,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
0.003408385839825258,0.0030006503154446805,-11.96271618126078,0.013086419702325653,train_only_tau,25,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
0.0031360955249893426,0.0028426903034115625,-9.355748867974201,0.013086419702325653,train_only_tau,25,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
0.004487187642230267,0.0028730896643045186,-35.971260990625595,0.013086419702325653,train_only_tau,25,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.0022688364235223567,-22.472243954492843,0.013086419702325653,train_only_tau,25,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.002504818961791151,0.0022370625463798114,-10.689651407775669,0.013086419702325653,train_only_tau,25,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.007265129575917493,0.007071862347016426,-2.6602034675570096,0.01701652384487801,train_only_tau,100,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
0.0037480705220761528,0.0032209846636399105,-14.062858618366548,0.01701652384487801,train_only_tau,100,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
0.003248313740665229,0.0028690243880390553,-11.676499959899134,0.01701652384487801,train_only_tau,100,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
0.0056693997340904675,0.004449895467606769,-21.510288984400596,0.01701652384487801,train_only_tau,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.00466697841421465,-5.423817912874185,0.01701652384487801,train_only_tau,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0013816404339982303,0.0012221376990711927,-11.54444608033539,0.01701652384487801,train_only_tau,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.005612615040270773,0.005417834708821271,-3.470402478202139,0.02620046129192558,train_only_tau,400,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
0.004701998914275349,0.0038835442293170693,-17.406526455662018,0.02620046129192558,train_only_tau,400,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
0.0038535563963712593,0.0032655240015749903,-15.259472920910044,0.02620046129192558,train_only_tau,400,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
0.008173606778800102,0.005397902774344439,-33.9593533133379,0.02620046129192558,train_only_tau,400,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.0061531491792049565,-7.9876230787725655,0.02620046129192558,train_only_tau,400,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0025579541942073844,0.002388115311914901,-6.639637358522366,0.02620046129192558,train_only_tau,400,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.00744534704076948,0.007291291028271285,-2.0691582495028227,0.013559581825142787,train_only_tau,25,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
0.003408385839825258,0.0029859079328333786,-12.395248861071995,0.013559581825142787,train_only_tau,25,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
0.0031360955249893426,0.0028320817305058175,-9.694022138708869,0.013559581825142787,train_only_tau,25,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
0.004487187642230267,0.0028497936817388396,-36.490427658549926,0.013559581825142787,train_only_tau,25,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.002926482771138891,0.0022553244973785897,-22.933956091568184,0.013559581825142787,train_only_tau,25,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.002227381350392226,-11.076154230345415,0.013559581825142787,train_only_tau,25,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.007265129575917493,0.007067904694143227,-2.714678103306356,0.017364981754009884,train_only_tau,100,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
0.0037480705220761528,0.003210191199719915,-14.350832493362287,0.017364981754009884,train_only_tau,100,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
0.003248313740665229,0.0028612574448033507,-11.915606889087382,0.017364981754009884,train_only_tau,100,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
0.0056693997340904675,0.0044433449557243045,-21.625830526533807,0.017364981754009884,train_only_tau,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.004934623402238123,0.004669237445205606,-5.378038715419509,0.017364981754009884,train_only_tau,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.0012224057852265023,-11.52504261263767,0.017364981754009884,train_only_tau,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.005612615040270773,0.00539653187451931,-3.8499552205354726,0.029200123464588616,train_only_tau,400,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
0.004701998914275349,0.0037898402471179078,-19.399380641882146,0.029200123464588616,train_only_tau,400,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
0.0038535563963712593,0.003198200815493748,-17.00651329495615,0.029200123464588616,train_only_tau,400,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
0.008173606778800102,0.005225452434981146,-36.069197156212475,0.029200123464588616,train_only_tau,400,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.006687305974578527,0.006139672395172481,-8.189150929953692,0.029200123464588616,train_only_tau,400,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,0.00237911124267485,-6.99164011371014,0.029200123464588616,train_only_tau,400,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.00744534704076948,0.007196041382313212,-3.348475995693856,0.021943190794636896,train_only_tau,25,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,1
0.003408385839825258,0.0027246985816789964,-20.05897484251117,0.021943190794636896,train_only_tau,25,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,1
0.0031360955249893426,0.0026441162897459704,-15.687635511199682,0.021943190794636896,train_only_tau,25,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,1
0.004487187642230267,0.003034316410584975,-32.378214317847686,0.021943190794636896,train_only_tau,25,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.002926482771138891,0.0024392023438261135,-16.650719154008343,0.021943190794636896,train_only_tau,25,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.002504818961791151,0.0020558474139188983,-17.924311286401363,0.021943190794636896,train_only_tau,25,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.007265129575917493,0.007076443454426866,-2.597147367007535,0.016613172878815308,train_only_tau,100,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.0032334784368768152,-13.72951982008843,0.016613172878815308,train_only_tau,100,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,1
0.003248313740665229,0.0028780148685974656,-11.399726185067616,0.016613172878815308,train_only_tau,100,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,1
0.0056693997340904675,0.004457477890696502,-21.37654602314599,0.016613172878815308,train_only_tau,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.004934623402238123,0.004664363514943592,-5.476808770694708,0.016613172878815308,train_only_tau,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.0013816404339982303,0.00122182738093257,-11.566906203171023,0.016613172878815308,train_only_tau,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.005612615040270773,0.005407203121725369,-3.6598255371438237,0.027697500098823703,train_only_tau,400,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,0.0038367794639406786,-18.40109847128737,0.027697500098823703,train_only_tau,400,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,1
0.0038535563963712593,0.003231925077307411,-16.131366849832894,0.027697500098823703,train_only_tau,400,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,1
0.008173606778800102,0.005305469691814167,-35.09022595049505,0.027697500098823703,train_only_tau,400,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.006687305974578527,0.006146226615986155,-8.091141046174045,0.027697500098823703,train_only_tau,400,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.0025579541942073844,0.0023836164518374983,-6.815514631367625,0.027697500098823703,train_only_tau,400,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,1
