audit,base_mae,base_tau,corr_mae,delta_pct,heldout_scale,nonharm,nuisance,route,scale,target_curve,target_label,tau,tau_multiplier,train_curves,win
leave_one_scale_select_mean,0.0025579541942073844,512.0,0.002378104999390537,-7.030977928538551,400,1,none,weak_step_drop,400,wsdcon_18.csv,WSD-con 18e-5,512.0,1.0,wsdcon_9,1
leave_one_scale_select_worst,0.00744534704076948,8192.0,0.005493944273238501,-26.209695220994035,25,1,dct4,smooth_decay,25,cosine_72000.csv,Cosine,9216.0,1.125,wsdcon_3,1
leave_one_scale_select_worst,0.003408385839825258,5120.0,0.0020041853239953123,-41.19840246437406,25,1,none,finite_tail,25,wsd_20000_24000.csv,WSD sharp,3840.0,0.75,wsdld_20000_24000,1
leave_one_scale_select_worst,0.0031360955249893426,5120.0,0.002052681639549205,-34.54658433734474,25,1,none,finite_tail,25,wsdld_20000_24000.csv,WSD linear,3840.0,0.75,wsd_20000_24000,1
leave_one_scale_select_worst,0.004487187642230267,1536.0,0.002100257168326793,-53.19435388525668,25,1,dct2,full_step_drop,25,wsdcon_3.csv,WSD-con 3e-5,1536.0,1.0,wsd_20000_24000+wsdld_20000_24000,1
leave_one_scale_select_worst,0.002926482771138891,768.0,0.0021922657679291514,-25.08871777584415,25,1,dct2,medium_step_drop,25,wsdcon_9.csv,WSD-con 9e-5,672.0,0.875,wsdcon_3+wsdcon_18,1
leave_one_scale_select_worst,0.002504818961791151,512.0,0.0021331538331243152,-14.83800363763873,25,1,none,weak_step_drop,25,wsdcon_18.csv,WSD-con 18e-5,448.0,0.875,wsdcon_9,1
leave_one_scale_select_worst,0.007265129575917493,8192.0,0.0035881930538116035,-50.61074938421232,100,1,dct4,smooth_decay,100,cosine_72000.csv,Cosine,12288.0,1.5,wsdcon_3,1
leave_one_scale_select_worst,0.0037480705220761528,5120.0,0.0016514896981030635,-55.93760340485107,100,1,none,finite_tail,100,wsd_20000_24000.csv,WSD sharp,2560.0,0.5,wsdld_20000_24000,1
leave_one_scale_select_worst,0.003248313740665229,5120.0,0.0015795256813234066,-51.37398024244012,100,1,none,finite_tail,100,wsdld_20000_24000.csv,WSD linear,2560.0,0.5,wsd_20000_24000,1
leave_one_scale_select_worst,0.0056693997340904675,1536.0,0.0030871619639734407,-45.54693426518973,100,1,dct2,full_step_drop,100,wsdcon_3.csv,WSD-con 3e-5,1728.0,1.125,wsd_20000_24000+wsdld_20000_24000,1
leave_one_scale_select_worst,0.004934623402238123,768.0,0.004502400632784539,-8.75898187605455,100,1,dct2,medium_step_drop,100,wsdcon_9.csv,WSD-con 9e-5,768.0,1.0,wsdcon_3+wsdcon_18,1
leave_one_scale_select_worst,0.0013816404339982303,512.0,0.001200371228267089,-13.119853854202812,100,1,none,weak_step_drop,100,wsdcon_18.csv,WSD-con 18e-5,448.0,0.875,wsdcon_9,1
leave_one_scale_select_worst,0.005612615040270773,8192.0,0.004674475727621047,-16.714834456283455,400,1,dct4,smooth_decay,400,cosine_72000.csv,Cosine,16384.0,2.0,wsdcon_3,1
leave_one_scale_select_worst,0.004701998914275349,5120.0,0.001974342494833647,-58.01057101822143,400,1,none,finite_tail,400,wsd_20000_24000.csv,WSD sharp,2560.0,0.5,wsdld_20000_24000,1
leave_one_scale_select_worst,0.0038535563963712593,5120.0,0.001871892107562001,-51.42429706427322,400,1,none,finite_tail,400,wsdld_20000_24000.csv,WSD linear,2560.0,0.5,wsd_20000_24000,1
leave_one_scale_select_worst,0.008173606778800102,1536.0,0.0033560059070024163,-58.94094250157844,400,1,dct2,full_step_drop,400,wsdcon_3.csv,WSD-con 3e-5,1536.0,1.0,wsd_20000_24000+wsdld_20000_24000,1
leave_one_scale_select_worst,0.006687305974578527,768.0,0.005919491863764954,-11.481665617400816,400,1,dct2,medium_step_drop,400,wsdcon_9.csv,WSD-con 9e-5,672.0,0.875,wsdcon_3+wsdcon_18,1
leave_one_scale_select_worst,0.0025579541942073844,512.0,0.002361307632373329,-7.687649852345735,400,1,none,weak_step_drop,400,wsdcon_18.csv,WSD-con 18e-5,384.0,0.75,wsdcon_9,1
