mean_delta,nonharm,rows,test_curve,test_label,train_curve,train_label,wins,worst_delta
-89.78985968316096,3,3,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,3,-83.33458927347203
-8.35322683310964,3,3,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,0.0
-4.9076530795110545,3,3,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,0.0
-11.711007101283544,3,3,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,0.0
-8.837130450784699,3,3,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0.0
-7.7480370186266745,3,3,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,0.0
-4.632229652519071,3,3,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,3,-2.645171428782811
-73.14089621487312,3,3,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,3,-69.44575817438742
-4.912025909852151,3,3,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,3,-1.249458115241564
-24.789359924541383,3,3,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,3,-23.34805079139638
-11.896285488323059,3,3,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,3,-6.268334897287442
-23.642508753532173,3,3,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,3,-14.967484144735877
-3.3428249900629274,3,3,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,3,-2.3879822496477354
-17.21300437645935,3,3,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,3,-14.49855396305516
-47.78983329515889,3,3,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,3,-38.87148919959566
-25.165197125821617,3,3,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,3,-16.028787967310986
-18.145576901959775,3,3,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,3,-13.174320530128657
-17.08023215924379,3,3,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,3,-13.512200408107066
-5.37753537666616,3,3,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,3,-3.307950502023005
-27.718356370267372,3,3,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,3,-20.18843378544144
-5.395725763721245,3,3,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,3,-0.7029620733866149
-68.35998728110822,3,3,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,3,-61.45686175858869
-12.700891993196679,3,3,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,3,-4.978727908032877
-27.557607320759704,3,3,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,3,-18.71776481170554
-4.051712055735712,3,3,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,3,-2.114880070243663
-20.62288192103162,3,3,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,3,-12.907120658593286
-4.527794548412841,3,3,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,3,-1.8202243981015886
-19.8055090516232,3,3,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,3,-6.8163137846385835
-73.54130437827781,3,3,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,3,-65.48879654794459
-20.61069873906746,3,3,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,3,-11.96687427323264
-4.433131264703575,3,3,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,3,-1.5901453359082995
-62.91564536782099,3,3,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,3,-61.06279860290941
-3.323882092802155,3,3,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,3,-0.021814393810293264
-22.358286706410727,3,3,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,3,-15.770000970403686
-9.2411651622109,3,3,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,3,-6.357292105563794
-70.8388931287259,3,3,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,3,-66.23015521366747
