base_mae,channel,config_id,corr_mae,curvature_coef,curvature_lambda,curvature_mode,curvature_tau,delta_pct,primary_coef,raw_primary,scale,shrink,shrink_curvature,signed_curvature_coef,source_dot,source_full_l2,source_l2,source_retention,step_curvature_coef,step_curvature_shrunk,step_curvature_signed_coef,step_curvature_tau,step_primary_coef,step_primary_retention,step_primary_shrink,target_retention,test_curve,test_label,train_curve,win
0.004303325702859985,smooth,7,0.0030334791879569334,0.0,4.0,signed_d2_lr,0.003,-29.5084918638418,0.02420899317439569,0.0968940283985493,25,0.8333333333333334,0,1,0.0007039472648428884,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003860602372604268,smooth,7,0.0032089091801266964,0.0,4.0,signed_d2_lr,0.003,-16.880609023662686,0.02420899317439569,0.0968940283985493,25,0.8333333333333334,0,1,0.0007039472648428884,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.008591406057766149,step,7,0.0040895703588773626,-0.006734385093895368,4.0,signed_d2_lr,0.003,-52.399289110766446,0.047699143037654164,,25,,0,1,,,,,-0.006734385093895368,0,1,0.003,0.047699143037654164,0.023466326347483815,1.0,0.39991786393307815,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.006052212378600692,step,7,0.004365220089772198,-0.006734385093895368,4.0,signed_d2_lr,0.003,-27.87397704008756,0.047699143037654164,,25,,0,1,,,,,-0.006734385093895368,0,1,0.003,0.047699143037654164,0.023466326347483815,1.0,0.710847229018906,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.004134387912738256,step,7,0.003562489027137582,-0.006734385093895368,4.0,signed_d2_lr,0.003,-13.832734075064057,0.047699143037654164,,25,,0,1,,,,,-0.006734385093895368,0,1,0.003,0.047699143037654164,0.023466326347483815,1.0,0.8441306331394743,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004344890305179187,smooth,7,0.002284463283822057,0.0,4.0,signed_d2_lr,0.003,-47.42184213260951,0.03800463456838331,0.1521096773673382,100,0.8333333333333334,0,1,0.0011050958775130778,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.2686449951276333,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0036178807709199698,smooth,7,0.0024668551420834305,0.0,4.0,signed_d2_lr,0.003,-31.81491325220902,0.03800463456838331,0.1521096773673382,100,0.8333333333333334,0,1,0.0011050958775130778,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.32237714656014427,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.007928074250295227,step,7,0.003597275786247766,-0.009337433353951811,4.0,signed_d2_lr,0.003,-54.62610877901641,0.06853520318965645,,100,,0,1,,,,,-0.009337433353951811,0,1,0.003,0.06853520318965645,0.023466326347483815,1.0,0.43383391047331865,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.0062566970131816045,step,7,0.004550962766002327,-0.009337433353951811,4.0,signed_d2_lr,0.003,-27.26253554528273,0.06853520318965645,,100,,0,1,,,,,-0.009337433353951811,0,1,0.003,0.06853520318965645,0.023466326347483815,1.0,0.7417894160964164,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0026712241180200675,step,7,0.002007401840769516,-0.009337433353951811,4.0,signed_d2_lr,0.003,-24.850864170191077,0.06853520318965645,,100,,0,1,,,,,-0.009337433353951811,0,1,0.003,0.06853520318965645,0.023466326347483815,1.0,0.8627820001863012,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.007276453411883992,smooth,7,0.004408231249596974,0.0,4.0,signed_d2_lr,0.003,-39.417859222497086,0.04898284995669083,0.1957823530568876,400,0.8333333333333334,0,1,0.0014276798997615988,0.5898288261410543,0.004792178674279005,0.008124693914388277,,,,,,,,0.26545908515575306,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.006065618893503333,smooth,7,0.004143952764348088,0.0,4.0,signed_d2_lr,0.003,-31.681286986452008,0.04898284995669083,0.1957823530568876,400,0.8333333333333334,0,1,0.0014276798997615988,0.5898288261410543,0.004792178674279005,0.008124693914388277,,,,,,,,0.31973859000646515,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.015378430871178581,step,7,0.005828276646422365,-0.0124528570145801,4.0,signed_d2_lr,0.003,-62.100966637985124,0.09120589305161192,,400,,0,1,,,,,-0.0124528570145801,0,1,0.003,0.09120589305161192,0.023577859368402006,1.0,0.4338605082069397,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.009032886016726277,step,7,0.006507172914415801,-0.0124528570145801,4.0,signed_d2_lr,0.003,-27.96130824227816,0.09120589305161192,,400,,0,1,,,,,-0.0124528570145801,0,1,0.003,0.09120589305161192,0.023577859368402006,1.0,0.7418161603154226,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.004868849724276598,step,7,0.004108361008090826,-0.0124528570145801,4.0,signed_d2_lr,0.003,-15.61947398774488,0.09120589305161192,,400,,0,1,,,,,-0.0124528570145801,0,1,0.003,0.09120589305161192,0.023577859368402006,1.0,0.8628004971466038,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004303325702859985,smooth,9,0.0030334791879569334,0.0,4.0,signed_d2_lr,0.01,-29.5084918638418,0.02420899317439569,0.0968940283985493,25,0.8333333333333334,1,1,0.0007039472648428884,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003860602372604268,smooth,9,0.0032089091801266964,0.0,4.0,signed_d2_lr,0.01,-16.880609023662686,0.02420899317439569,0.0968940283985493,25,0.8333333333333334,1,1,0.0007039472648428884,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.008591406057766149,step,9,0.004147651129286658,-0.0006060975045820732,4.0,signed_d2_lr,0.01,-51.72325575814899,0.047699444518959,,25,,1,1,,,,,-0.0006060975045820732,1,1,0.01,0.047699444518959,0.023466326347483815,1.0,0.3884443720840805,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.006052212378600692,step,9,0.0044101702295704925,-0.0006060975045820732,4.0,signed_d2_lr,0.01,-27.13127111725464,0.047699444518959,,25,,1,1,,,,,-0.0006060975045820732,1,1,0.01,0.047699444518959,0.023466326347483815,1.0,0.697908569091014,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.004134387912738256,step,9,0.00358792605135468,-0.0006060975045820732,4.0,signed_d2_lr,0.01,-13.217479175089009,0.047699444518959,,25,,1,1,,,,,-0.0006060975045820732,1,1,0.01,0.047699444518959,0.023466326347483815,1.0,0.8345847740508351,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004344890305179187,smooth,9,0.002284463283822057,0.0,4.0,signed_d2_lr,0.01,-47.42184213260951,0.03800463456838331,0.1521096773673382,100,0.8333333333333334,1,1,0.0011050958775130778,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.2686449951276333,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
