basis_dim,coef,denominator,lambda,method,nuisance,response_rule,shrinkage,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,test_scale,train_scale
4,0.012938400168924617,0.002532575742840691,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,3.276747841898438e-05,0.15301451324062326,0.005707516346072979,0.0013913265664706935,wsdcon_3.csv,WSD-con 3e-5,100,25
4,0.012938400168924617,0.002532575742840691,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,3.276747841898438e-05,0.15301451324062326,0.005707516346072979,0.0013913265664706935,wsdcon_9.csv,WSD-con 9e-5,100,25
4,0.012938400168924617,0.002532575742840691,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,3.276747841898438e-05,0.15301451324062326,0.005707516346072979,0.0013913265664706935,wsdcon_18.csv,WSD-con 18e-5,100,25
4,0.05065284857148995,0.002783779504201289,7.221202285244404,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00014100636168272527,0.4277860173279959,0.016845756266825433,0.001550700244941796,cosine_24000.csv,Cosine 24k,100,25
4,0.050660354454602624,0.0027838609305067016,7.220283130832764,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.0001410313814917894,0.4278406326690459,0.01684817291301051,0.0015507492024444897,constant_24000.csv,Constant 24k,100,25
4,0.050660354454602624,0.0027838609305067016,7.220283130832764,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.0001410313814917894,0.4278406326690459,0.01684817291301051,0.0015507492024444897,constant_72000.csv,Constant 72k,100,25
4,0.05059367388558115,0.00278313818924367,7.2284552974545955,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00014080918592510107,0.4273555312833288,0.016826710588931797,0.0015503144373614538,wsd_20000_24000.csv,WSD sharp,400,25
4,0.05063426452557229,0.0027835779759718877,7.223478858982098,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00014094442356291767,0.4276508044754227,0.01683977363184812,0.0015505790495055339,wsdld_20000_24000.csv,WSD linear,400,25
4,0.012938400168924617,0.002532575742840691,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,3.276747841898438e-05,0.15301451324062326,0.005707516346072979,0.0013913265664706935,wsdcon_3.csv,WSD-con 3e-5,400,25
4,0.012938400168924617,0.002532575742840691,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,3.276747841898438e-05,0.15301451324062326,0.005707516346072979,0.0013913265664706935,wsdcon_9.csv,WSD-con 9e-5,400,25
4,0.012938400168924617,0.002532575742840691,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,3.276747841898438e-05,0.15301451324062326,0.005707516346072979,0.0013913265664706935,wsdcon_18.csv,WSD-con 18e-5,400,25
4,0.05065284857148995,0.002783779504201289,7.221202285244404,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00014100636168272527,0.4277860173279959,0.016845756266825433,0.001550700244941796,cosine_24000.csv,Cosine 24k,400,25
4,0.050660354454602624,0.0027838609305067016,7.220283130832764,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.0001410313814917894,0.4278406326690459,0.01684817291301051,0.0015507492024444897,constant_24000.csv,Constant 24k,400,25
4,0.050660354454602624,0.0027838609305067016,7.220283130832764,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.0001410313814917894,0.4278406326690459,0.01684817291301051,0.0015507492024444897,constant_72000.csv,Constant 72k,400,25
4,0.08711343341554592,0.002743524977849311,7.2284552974545955,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023899788048176304,0.4273555312833288,0.015605286855720102,0.0013334135180648567,wsd_20000_24000.csv,WSD sharp,25,100
4,0.0871830494620756,0.002743911501994817,7.223478858982098,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.0002392225721979723,0.4276508044754227,0.015617666342793237,0.001333686311958456,wsdld_20000_24000.csv,WSD linear,25,100
4,0.022826637792579752,0.002527676392701416,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,5.76983534730498e-05,0.15301451324062326,0.005260835741725408,0.0011820728269458275,wsdcon_3.csv,WSD-con 3e-5,25,100
4,0.022826637792579752,0.002527676392701416,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,5.76983534730498e-05,0.15301451324062326,0.005260835741725408,0.0011820728269458275,wsdcon_9.csv,WSD-con 9e-5,25,100
4,0.022826637792579752,0.002527676392701416,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,5.76983534730498e-05,0.15301451324062326,0.005260835741725408,0.0011820728269458275,wsdcon_18.csv,WSD-con 18e-5,25,100
4,0.08721492309568091,0.002744088629814247,7.221202285244404,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023932547881698197,0.4277860173279959,0.015623336065458198,0.001333811259927987,cosine_24000.csv,Cosine 24k,25,100
